what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476565335
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476570345
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340476583590
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476597974
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476598050
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340476612347
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476615922
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476615991
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1340476636715
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476640689
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476640766
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1340476640878
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340476669385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340476725302
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1340476728211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340476837448
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340476979024
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340476999526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340477331815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340477334908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340477591877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340477606269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340477684232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340477715740
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340477752493
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1340477752516
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1340477752814
